Process,Distribution,Parameters,Value,Source,Inset
Birth rate ,--,Mean annual rate (dogs/yr),0.5,[@czuprynaEcologyDemographyFreeRoaming2016],A
Death rate,--,Mean annual rate (dogs/yr),0.42,[@czuprynaEcologyDemographyFreeRoaming2016],A
Vaccine waning,--,Mean annual rate (dogs/yr),0.33,[@lakshmananThreeyearRabiesDuration2006],A
Secondary cases (R0),"Negative binomial, mean 1.2 secondary cases",Mean,1.2,[@Townsend:2013hm],B
Secondary cases (R0),"Negative binomial, mean 1.2 secondary cases",Dispersion parameter (k),1.3,[@Townsend:2013hm],B
Incubation period,"Gamma, mean 22.3 days",Shape,1.15,[@Hampson:2009jqa],C
Incubation period,"Gamma, mean 22.3 days",Rate,0.04,[@Hampson:2009jqa],C
Infectious period,"Gamma, mean 3.1 days",Shape,2.9,[@Hampson:2009jqa],D
Infectious period,"Gamma, mean 3.1 days",Rate,1.01,[@Hampson:2009jqa],D
Dispersal kernel,"Gamma, mean 0.88 km",Shape,0.215,[@Townsend:2013hm],E
